Row Labels,Acb,Act,At,Ba,Bg,Bl,Bp,Cw,Dr,Ep,Fd,Hm,Hw,La,Lt,Lw,Mb,Pa,Pl,Pw,Py,Qg,Ra,Sb,Se,Ss,Sw,Sx,Sxs,Yc
CWHds2/10,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
CWHds2/11,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHds2/12,,1,,,,,,3,1,1,,,,,,,1,,,,,,,,,1,,,,
CWHmm1/01,,1,,,,,,2,3,,3,,2,,,,1,,,,,,,,,,,,,
CWHmm1/02,,,,,,,,1,,,2,,,,,,1,,3,,,,,,,,,,,
CWHmm1/03,,1,,,,,,1,1,,3,,1,,,,1,,,,,,,,,,,,,
CWHmm1/04,,1,,,,,,1,1,,3,,1,,,,1,,,1,,,,,,,,,,
CWHmm1/05,,1,,1,,,,3,1,,3,,1,,,,1,,,1,,,,,,,,,,
CWHmm1/06,,1,,1,,,,3,3,,1,,3,,,,1,,,,,,,,,,,,,
CWHmm1/07,,3,,1,,,,3,3,,3,,1,,,,3,,,,,,,,,,,,,
CWHmm1/08,,3,,3,,,,3,3,,,,,,,,3,,,,,,,,,3,,,,
CWHmm1/09,,3,,2,,,,2,3,,,,,,,,3,,,,,,,,,,,,,
CWHmm1/10,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
CWHmm1/11,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHmm1/12,,1,,,,,,3,1,,,,1,,,,1,,,,,,,,,1,,,,
CWHmm2/01,,,,2,,,,2,,,2,3,3,,,,,,,,,,,,1,,,,,2
CWHmm2/02,,,,,,,,1,,,2,,,,,,,,3,,,,,,,,,,,
CWHmm2/03,,,,,,,,1,,,3,3,3,,,,,,,,,,,,2,,,,,1
CWHmm2/04,,,,,,,,1,,,3,,1,,,,,,,1,,,,,2,,,,,1
CWHmm2/05,,,,3,,,2,3,,,2,,2,,,,,,,1,,,,,1,,,,,2
CWHmm2/06,,,,2,,,,3,,,1,3,3,,,,,,,,,,,,,,,,,2
